公司名稱,職缺名稱,徵才網址,薪水區間
奇邑科技股份有限公司,資料探勘工程師,http://www.104.com.tw/job/71ekq?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
國立臺灣師範大學_教育研究與評鑑中心,幼兒發展調查資料庫建置計畫--誠徵工程師1名,http://www.104.com.tw/job/713gl?jobsource=2018indexpoc,"月薪 35,000~45,000元"
中華系統整合股份有限公司,資料庫工程師,http://www.104.com.tw/job/71mow?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
國泰世華商業銀行股份有限公司_人力資源部,"【數據生態營運】資料營運工程師 (數數發中心,DDT)",http://www.104.com.tw/job/6v7r3?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
工研院 _財團法人工業技術研究院,工研院巨資中心_人工智慧與巨量資料平台技術研發工程師(W201),http://www.104.com.tw/job/5am2k?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
睿訊有限公司,資料庫管理工程師,http://www.104.com.tw/job/4ab9v?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
蓋亞汽車股份有限公司,DBA Engineer 資料庫管理工程師,http://www.104.com.tw/job/70sl0?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
南亞電路板股份有限公司(南電),AI工程師(資料分析),http://www.104.com.tw/job/6olvl?jobsource=2018indexpoc,"月薪 39,000~45,000元"
勤誠興業股份有限公司,資料庫工程師,http://www.104.com.tw/job/6gxlx?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
台灣現觀股份有限公司,大數據資料處理工程師,http://www.104.com.tw/job/70aaz?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
玉山銀行_玉山商業銀行股份有限公司,Oracle資料庫管理工程師,http://www.104.com.tw/job/6tnk6?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
兆洋資訊股份有限公司,【台北內湖】網路文字資料探勘分析(Text Mining/Data Crawler)演算法工程師,http://www.104.com.tw/job/5em7m?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
嘉里大榮物流股份有限公司,資料庫管理工程師,http://www.104.com.tw/job/6n7uo?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
中信金控_台灣人壽保險股份有限公司,資訊_資料倉儲工程師,http://www.104.com.tw/job/6fiv5?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
捷安特 YouBike_巨大機械工業股份有限公司,GTM資料應用工程師,http://www.104.com.tw/job/6c78n?jobsource=jolist_c_relevance,"月薪 33,000~43,000元"
